zipcode,year,precio_promedio,tamano_promedio,habitaciones_promedio
98188,2015,303355.1886792453,1835.8490566037735,3.358490566037736
98178,2015,321470.67532467534,1790.7792207792209,3.2987012987012987
98056,2014,422893.3056603774,2019.6641509433962,3.4
98177,2014,660875.7900552487,2331.3259668508285,3.3646408839779007
98010,2015,424490.94736842107,2267.0789473684213,3.4210526315789473
98198,2014,310021.5494505495,1792.6868131868132,3.1923076923076925
98034,2015,540802.3148148148,1968.2777777777778,3.382716049382716
98033,2014,798343.5136986302,2460.27397260274,3.5821917808219177
98010,2014,423160.37096774194,2058.2258064516127,3.2096774193548385
98077,2015,733917.5438596491,2932.0175438596493,3.5964912280701755
98027,2015,619575.6929133858,2399.251968503937,3.5196850393700787
98019,2015,424246.9696969697,2077.7727272727275,3.3333333333333335
98117,2015,586930.6305732484,1597.1337579617834,2.949044585987261
98075,2015,799124.4786324786,3007.7008547008545,3.7606837606837606
98146,2015,358552.1929824561,1566.3859649122808,3.0964912280701755
98148,2014,285849.74358974356,1684.871794871795,3.230769230769231
98116,2014,606727.5555555555,1865.4722222222222,3.0787037037037037
98119,2014,850026.1153846154,2032.253846153846,3.2615384615384615
98144,2014,613206.9515418502,1976.4933920704846,3.198237885462555
98040,2014,1187996.0408163266,3118.045918367347,3.979591836734694
98022,2014,315381.487012987,1844.1038961038962,3.175324675324675
98125,2014,466995.45,1813.9857142857143,3.2928571428571427
98007,2014,618397.4752475248,2169.80198019802,3.722772277227723
98024,2014,550451.4,2270.7,3.28
98031,2015,304999.36842105264,1946.7368421052631,3.431578947368421
98166,2015,484827.61627906974,2047.3488372093022,3.3255813953488373
98115,2014,613597.2619647355,1892.0,3.234256926952141
98058,2014,354325.2979452055,2078.2979452054797,3.5924657534246576
98092,2015,326080.44,2083.008,3.44
98074,2015,691335.3114754099,2571.1475409836066,3.5327868852459017
98053,2014,682795.3523131673,2690.626334519573,3.2562277580071175
98072,2014,574530.0284090909,2401.744318181818,3.3863636363636362
98199,2015,794906.7475728155,2131.5533980582522,3.1650485436893203
98077,2014,662100.1843971631,2826.7375886524824,3.624113475177305
98001,2015,292434.4871794872,1925.6495726495727,3.4444444444444446
98070,2015,515310.71428571426,1956.607142857143,2.9642857142857144
98075,2014,786444.0289256198,3020.561983471074,3.9008264462809916
98109,2014,889279.4303797468,2065.9493670886077,3.151898734177215
98038,2015,374815.6291079812,2125.9530516431923,3.380281690140845
98070,2014,478821.06666666665,1856.5222222222221,2.688888888888889
98022,2015,316340.35,1809.65,3.1
98105,2015,913999.4861111111,2183.472222222222,3.5833333333333335
98034,2014,513553.088772846,1983.046997389034,3.503916449086162
98109,2015,854196.6666666666,2025.3666666666666,3.3
98119,2015,848056.2962962963,1941.4814814814815,3.259259259259259
98003,2014,292311.7173913043,1930.5,3.342391304347826
98052,2014,638931.3822115385,2370.46875,3.610576923076923
98032,2015,257239.47368421053,1795.8684210526317,3.5
98005,2015,826161.74,2607.2,3.9
98092,2014,339810.78761061945,2257.9690265486724,3.5353982300884956
98168,2015,255956.54320987655,1483.7037037037037,2.9753086419753085
98107,2015,620195.0,1634.5555555555557,3.033333333333333
98112,2014,1068574.1692307692,2499.728205128205,3.528205128205128
98058,2015,352324.79754601227,1998.276073619632,3.3987730061349692
98007,2015,613841.8,2213.0,4.05
98122,2015,639631.3855421686,1741.6385542168675,3.1686746987951806
98106,2015,334167.8780487805,1480.2357723577236,3.0569105691056913
98014,2014,457489.5869565217,2128.4021739130435,2.9565217391304346
98102,2014,888158.9743589744,2122.9871794871797,3.141025641025641
98055,2015,315088.7604166667,1810.3645833333333,3.3229166666666665
98118,2015,429487.82233502535,1645.736040609137,3.1928934010152283
98027,2014,615838.6350877193,2566.014035087719,3.543859649122807
98029,2014,609954.9301310044,2300.1310043668122,3.445414847161572
98028,2014,454811.68648648646,2105.7513513513513,3.4594594594594597
98155,2015,439057.1971830986,1804.225352112676,3.408450704225352
98014,2015,450233.75,2087.96875,3.125
98105,2014,839356.7834394905,2135.4904458598726,3.5796178343949046
98005,2014,803386.5423728813,2677.822033898305,3.830508474576271
98019,2014,425077.1129032258,2221.4758064516127,3.379032258064516
98031,2014,298173.1284916201,1923.608938547486,3.5139664804469275
98188,2014,279961.8072289157,1781.6506024096386,3.4819277108433737
98166,2014,453688.7619047619,2078.4285714285716,3.4047619047619047
98122,2014,632246.6038647343,1802.4541062801932,3.1642512077294684
98023,2014,286653.0119402985,2006.2328358208956,3.4716417910447763
98074,2014,683414.5423197492,2674.448275862069,3.6614420062695925
98006,2014,829379.734870317,2861.135446685879,3.8559077809798272
98033,2015,814932.3428571429,2216.707142857143,3.5142857142857142
98148,2015,282869.44444444444,1449.4444444444443,2.9444444444444446
98136,2014,550435.5088757396,1750.094674556213,2.9289940828402368
98002,2015,234418.50746268657,1603.313432835821,3.2388059701492535
98177,2015,713631.8513513514,2303.7837837837837,3.472972972972973
98136,2015,553941.7021276596,1685.0,2.9361702127659575
98008,2015,645560.6111111111,2036.388888888889,3.688888888888889
98117,2014,572776.5909090909,1729.6666666666667,3.047979797979798
98045,2015,484867.05454545456,2178.909090909091,3.2181818181818183
98040,2015,1208437.6976744186,3081.279069767442,4.1395348837209305
98112,2015,1166450.810810811,2496.1486486486488,3.4594594594594597
98030,2014,295402.69677419355,1972.6967741935484,3.47741935483871
98039,2015,1628019.2307692308,3000.0,4.153846153846154
98133,2014,369761.0745341615,1576.8478260869565,3.093167701863354
98042,2015,319494.40196078434,1964.5539215686274,3.3676470588235294
98024,2015,629035.4838709678,2445.1612903225805,3.3225806451612905
98125,2015,474754.92307692306,1598.0153846153846,3.0076923076923077
